vendor_source	archives_naming_it	category	prototypes_recovered	generated_header
services/bt_profiles_enhanced/protocols/hshf/hsp.c	2	BES		
services/bt_profiles_enhanced/protocols/l2cap/l2cap.c	2	BES		
services/bt_profiles_enhanced/protocols/l2cap/l2cap_er.c	2	BES		
services/bt_profiles_enhanced/protocols/map/map_protocol.c	2	BES		
services/bt_profiles_enhanced/protocols/map/map_sdp.c	2	BES		
services/bt_profiles_enhanced/protocols/map/map_session.c	2	BES		
services/bt_profiles_enhanced/protocols/misc/bt_common.c	2	BES		
services/bt_profiles_enhanced/protocols/misc/co_lib.c	2	BES		
services/bt_profiles_enhanced/protocols/misc/co_ppbuff.c	2	BES		
services/bt_profiles_enhanced/protocols/obex/obex_ascii_unicode.c	2	BES		
services/bt_profiles_enhanced/protocols/obex/obex_session.c	2	BES		
services/bt_profiles_enhanced/protocols/obex/obex_tlv.c	2	BES		
services/bt_profiles_enhanced/protocols/obex/obex_transmission.c	2	BES		
services/bt_profiles_enhanced/protocols/obex/obex_transportlayer.c	2	BES		
services/bt_profiles_enhanced/protocols/pbap/md5.c	2	BES		
services/bt_profiles_enhanced/protocols/pbap/obex.c	2	BES		
services/bt_profiles_enhanced/protocols/pbap/pbap.c	2	BES		
services/bt_profiles_enhanced/protocols/rfcomm/rfcomm.c	2	BES		
services/bt_profiles_enhanced/protocols/sco/sco.c	2	BES		
services/bt_profiles_enhanced/protocols/sdp/sdp.c	2	BES		
services/bt_profiles_enhanced/protocols/spp/sppnew.c	2	BES		
services/ibrt_core/src/app_ibrt_bt_profile_sync.c	4	BES		
services/ibrt_core/src/app_tws_besaud.c	4	BES		
services/ibrt_core/src/app_tws_ctrl_thread.c	4	BES		
services/ibrt_core/src/app_tws_ibrt.c	4	BES		
services/ibrt_core/src/app_tws_ibrt_audio_analysis.c	4	BES		
services/ibrt_core/src/app_tws_ibrt_audio_sync.c	4	BES		
services/ibrt_core/src/app_tws_ibrt_cmd_handler.c	4	BES		
services/ibrt_core/src/app_tws_ibrt_mock.c	4	BES		
services/ibrt_core/src/app_tws_ibrt_queue.c	4	BES		
services/ibrt_core/src/app_tws_ibrt_trace.c	4	BES		
services/ibrt_core/src/app_tws_profile_sync.c	4	BES		
services/ibrt_core/src/app_vendor_cmd_evt.c	4	BES		
services/ibrt_ota/src/ota_bes.c	2	BES		
services/ibrt_ota/src/ota_control.c	2	BES		
services/ibrt_ota/src/ota_spp.c	2	BES		
services/ibrt_ui/src/app_ibrt_ui.c	2	BES		
services/multimedia/algorithm/fft/src/fft128dot.c	2	BES		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/FDK_delay.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/aac_ram.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/aac_rom.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/aacdec_drc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/aacdec_hcr.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/aacdec_hcr_bit.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/aacdec_hcrs.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/aacdec_pns.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/aacdec_tns.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/aacdecoder.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/aacdecoder_lib.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/block.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/channel.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/channelinfo.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/conceal.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/ldfiltbank.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/pulsedata.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/rvlc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/rvlcbit.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/rvlcconceal.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/stereo.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/usacdec_ace_d4t64.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/usacdec_ace_ltp.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/usacdec_acelp.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/usacdec_fac.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/usacdec_lpc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/usacdec_lpd.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACdec/src/usacdec_rom.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/aacEnc_ram.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libAACenc/src/aacEnc_rom.c	2	third-party		
