vendor_source	archives_naming_it	category	prototypes_recovered	generated_header
services/multimedia/audio/process/drc/src/data_compressor.c	2	BES		
services/multimedia/audio/process/drc/src/drc.c	2	BES		
services/multimedia/audio/process/filters/src/best2300p/dsd_process_best2300p.c	2	BES		
services/multimedia/audio/process/filters/src/best2300p/fir_process_best2300p.c	2	BES		
services/multimedia/audio/process/filters/src/best2300p/hw_codec_iir_process_best2300p.c	2	BES	8	
services/multimedia/audio/process/filters/src/best2300p/hw_iir_process_best2300p.c	2	BES	12	yes
services/multimedia/audio/process/filters/src/iir_process.c	2	BES		
services/multimedia/audio/process/fir2iir/src/fir2iir.c	2	BES	23	yes
services/multimedia/audio/process/floatlimiter/src/floatlimiter.c	2	BES		
services/multimedia/audio/process/integer_resampling/src/bes_fir_decimate_f32.c	2	BES		
services/multimedia/audio/process/integer_resampling/src/bes_fir_decimate_init_f32.c	2	BES		
services/multimedia/audio/process/integer_resampling/src/integer_resampling.c	2	BES		
services/multimedia/audio/process/integer_resampling/src/integer_resampling_item_cfg.c	2	BES		
services/multimedia/audio/process/integer_resampling/src/integer_resampling_test.c	2	BES		
services/multimedia/audio/process/limiter/src/limiter.c	2	BES		
services/multimedia/audio/process/resample/src/audio_resample.c	2	BES		
services/multimedia/audio/process/resample/src/audio_resample_ex.c	2	BES		
services/multimedia/audio/process/resample/src/audio_resample_ex_32bit.c	2	BES		
services/multimedia/speech/src/application/Pcm8kCvsd/Pcm8k_Cvsd.c	2	BES		
services/multimedia/speech/src/codec/codecs/adpcm/g711.c	2	BES		
services/multimedia/speech/src/codec/codecs/adpcm/g726.c	2	BES		
services/multimedia/speech/src/codec/codecs/adpcm/g726_16.c	2	BES		
services/multimedia/speech/src/codec/codecs/adpcm/g726_24.c	2	BES		
services/multimedia/speech/src/codec/codecs/adpcm/g726_32.c	2	BES		
services/multimedia/speech/src/codec/codecs/adpcm/g72x.c	2	BES		
services/multimedia/speech/src/codec/codecs/cvsd/cvsd_codec.c	2	BES		
services/multimedia/speech/src/process/SubbandAEC/SubBandBasedAEC.c	2	BES		
services/multimedia/speech/src/process/VoiceActivityDetection/VoiceActivityDetection.c	2	BES		
services/multimedia/speech/src/process/agc/agc.c	2	BES		
services/multimedia/speech/src/process/audio_drc2/audio_drc2.c	2	BES	13	
services/multimedia/speech/src/process/common/ae_common.c	2	BES		
services/multimedia/speech/src/process/common/ae_rand.c	2	BES		
services/multimedia/speech/src/process/common/armfirfilt.c	2	BES		
services/multimedia/speech/src/process/common/buffer_manager.c	2	BES		
services/multimedia/speech/src/process/common/cmsis_fftwrap.c	2	BES	4	yes
services/multimedia/speech/src/process/common/dspfns.c	2	BES		
services/multimedia/speech/src/process/common/exp_func_tables.c	2	BES		
services/multimedia/speech/src/process/common/fastmath_const.c	2	BES		
services/multimedia/speech/src/process/common/firfilt.c	2	BES		
services/multimedia/speech/src/process/common/fraction_delay.c	2	BES		
services/multimedia/speech/src/process/common/frame_resize.c	2	BES		
services/multimedia/speech/src/process/common/integer_delay.c	2	BES		
services/multimedia/speech/src/process/common/nextpow2.c	2	BES		
services/multimedia/speech/src/process/common/scale_int16.c	2	BES		
services/multimedia/speech/src/process/common/speech_conv.c	2	BES	1	
services/multimedia/speech/src/process/common/speech_memory_simu.c	2	BES	6	
services/multimedia/speech/src/process/common/speech_trans_buf.c	2	BES		
services/multimedia/speech/src/process/common/speech_win.c	2	BES	5	yes
services/multimedia/speech/src/process/compexp/compexp.c	2	BES		
services/multimedia/speech/src/process/crossfade/crossfade.c	2	BES		
services/multimedia/speech/src/process/dual_mic_denoise/dual_mic_denoise.c	2	BES	18	yes
services/multimedia/speech/src/process/ec2_float/coherence.c	2	BES		
services/multimedia/speech/src/process/ec2_float/echo_canceller.c	2	BES	7	
services/multimedia/speech/src/process/ec2_float/echo_suppression.c	2	BES		
services/multimedia/speech/src/process/ec2_float/lcmmse.c	2	BES		
services/multimedia/speech/src/process/ec2_float/logmmse.c	2	BES		
services/multimedia/speech/src/process/ec2_float/mdf1.c	2	BES		
services/multimedia/speech/src/process/ec2_float/mdf2.c	2	BES		
services/multimedia/speech/src/process/ec2_float/noise_generator.c	2	BES		
services/multimedia/speech/src/process/ec2_float/pink_noise_gen.c	2	BES		
services/multimedia/speech/src/process/ec2_float/white_noise_gen.c	2	BES		
services/multimedia/speech/src/process/far_field_speech_enhancement/far_field_speech_enhancement.c	2	BES	34	yes
services/multimedia/speech/src/process/iir_resample/iir_resample.c	2	BES	13	
services/multimedia/speech/src/process/lc_mmse_ns/cng.c	2	BES		
services/multimedia/speech/src/process/lc_mmse_ns/lc_mmse_ns.c	2	BES		
services/multimedia/speech/src/process/lc_mmse_ns/lc_mmse_ns_float.c	2	BES		
services/multimedia/speech/src/process/leftright_denoise/leftright_denoise.c	2	BES	7	yes
services/multimedia/speech/src/process/leftright_denoise/leftright_denoise_float.c	2	BES	5	yes
services/multimedia/speech/src/process/ns3/ns3.c	2	BES		
services/multimedia/speech/src/process/ns3/ns3f.c	2	BES		
services/multimedia/speech/src/process/ns_and_ec/buffer.c	2	BES		
services/multimedia/speech/src/process/ns_and_ec/fftwrap.c	2	BES	35	yes
services/multimedia/speech/src/process/ns_and_ec/filterbank.c	2	BES		
services/multimedia/speech/src/process/ns_and_ec/jitter.c	2	BES		
services/multimedia/speech/src/process/ns_and_ec/kiss_fft.c	2	BES	24	yes
services/multimedia/speech/src/process/ns_and_ec/kiss_fftr.c	2	BES	6	yes
services/multimedia/speech/src/process/ns_and_ec/mdf.c	2	BES		
services/multimedia/speech/src/process/ns_and_ec/preprocess.c	2	BES		
services/multimedia/speech/src/process/ns_and_ec/scal.c	2	BES		
services/multimedia/speech/src/process/ns_and_ec/smallft.c	2	BES		
services/multimedia/speech/src/process/plc/lpc_plc.c	2	BES		
services/multimedia/speech/src/process/plc/lpc_plc_api.c	2	BES		
services/multimedia/speech/src/process/plc/plc_16000.c	2	BES		
services/multimedia/speech/src/process/plc/plc_8000.c	2	BES		
services/multimedia/speech/src/process/plc/table.c	2	BES		
services/multimedia/speech/src/process/recognition/dtw.c	2	BES		
services/multimedia/speech/src/process/recognition/mfcc.c	2	BES		
services/multimedia/speech/src/process/recognition/recognition.c	2	BES		
services/multimedia/speech/src/process/recognition/vad.c	2	BES		
services/multimedia/speech/src/process/resample/resample.c	2	BES		
services/multimedia/speech/src/process/sensormic_denoise/sensormic_denoise.c	2	BES	10	
services/multimedia/speech/src/process/spectrum/spectrum.c	2	BES		
services/multimedia/speech/src/process/spectrum/spectrum_fix.c	2	BES		
services/multimedia/speech/src/process/spectrum/window_generator.c	2	BES	1	yes
services/multimedia/speech/src/process/speech_2mic_ns2_denoise/speech_2mic_ns2_denoise.c	2	BES	13	yes
services/multimedia/speech/src/process/speech_2mic_ns2_denoise/speech_2mic_ns2_denoise_float.c	2	BES	10	yes
services/multimedia/speech/src/process/speech_3mic_ns/speech_3mic_ns.c	2	BES	12	yes
services/multimedia/speech/src/process/speech_aec/speech_aec.c	2	BES	7	
services/multimedia/speech/src/process/speech_dc_filter/speech_dc_filter.c	2	BES		
services/multimedia/speech/src/process/speech_eq/iirfilt.c	2	BES	13	
services/multimedia/speech/src/process/speech_eq/iirfilt_design.c	2	BES	12	
services/multimedia/speech/src/process/speech_eq/speech_arm_eq.c	2	BES	10	
services/multimedia/speech/src/process/speech_eq/speech_eq.c	2	BES		
services/multimedia/speech/src/process/speech_ff_2mic_ns2/speech_ff_2mic_ns2.c	2	BES	6	yes
services/multimedia/speech/src/process/speech_ff_3mic_ns1/speech_ff_3mic_ns1.c	2	BES	5	yes
services/multimedia/speech/src/process/speech_fir_calibration/fftfilt.c	2	BES		
services/multimedia/speech/src/process/speech_fir_calibration/speech_fir_calibration.c	2	BES	4	
services/multimedia/speech/src/process/speech_fir_calibration/speech_hwfir_calibration.c	2	BES	4	yes
services/multimedia/speech/src/process/speech_gain/speech_gain.c	2	BES	6	
services/multimedia/speech/src/process/speech_iir/speech_arm_biquad_cascade_df1_f32.c	2	BES	1	yes
services/multimedia/speech/src/process/speech_iir/speech_arm_biquad_cascade_df1_init_f32.c	2	BES	1	yes
services/multimedia/speech/src/process/speech_iir/speech_iir.c	2	BES	7	
services/multimedia/speech/src/process/speech_iir_calibration/speech_iir_calibration.c	2	BES	3	
services/multimedia/speech/src/process/speech_mics_calibration/speech_mics_calibration.c	2	BES	16	yes
services/multimedia/speech/src/process/speech_noise_gate/speech_noise_gate.c	2	BES	4	
services/multimedia/speech/src/process/speech_ns/speech_ns.c	2	BES	6	
services/multimedia/speech/src/process/speech_peak_detector/speech_peak_detector.c	2	BES	5	
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/copy_set_operations.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/cross_correlation.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/division_operations.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/downsample_fast.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/energy.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/get_scaling_square.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/min_max_operations.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/real_fft.c	2	BES	4	yes
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/resample_48khz.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/resample_by_2.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/resample_by_2_internal.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/resample_fractional.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/spl_init.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/spl_inl.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/spl_sqrt.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/spl_sqrt_floor.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/common_audio/signal_processing/vector_scaling_operations.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/modules/audio_processing/agc/legacy/digital_agc.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/modules/audio_processing/ns/noise_suppression.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/modules/audio_processing/ns/noise_suppression_x.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/modules/audio_processing/ns/ns_core.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/modules/audio_processing/ns/nsx_core.c	2	BES		
services/multimedia/speech/src/process/speech_process_lib/modules/audio_processing/ns/nsx_core_c.c	2	BES		
services/multimedia/speech/src/process/triple_mic_denoise3/triple_mic_denoise3.c	2	BES	5	yes
services/multimedia/speech/src/process/vad/vad_core.c	2	BES		
services/multimedia/speech/src/process/vad/vad_filterbank.c	2	BES		
services/multimedia/speech/src/process/vad/vad_gmm.c	2	BES		
services/multimedia/speech/src/process/vad/vad_sp.c	2	BES		
services/multimedia/speech/src/process/vad/webrtc_vad.c	2	BES		
services/multimedia/speech/src/process/wind_detection_2mic/wind_detection_2mic.c	2	BES	17	yes
services/multimedia/speech/src/process/wnr/wnr.c	2	BES		
thirdparty/audio_codec_lib/ldac/src/bitalloc_sub_ldac.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/decode_ldac.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/dequant_ldac.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/imdct_ldac.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/ldacBT.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/ldacBT_api.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/ldacBT_internal.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/ldaclib.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/ldaclib_api.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/memory_ldac.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/setpcm_ldac.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/tables_ldac.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/tables_sigproc_ldac.c	1	third-party		
thirdparty/audio_codec_lib/ldac/src/unpack_ldac.c	1	third-party		
thirdparty/audio_codec_lib/liblhdc-dec/dec_src/Arc.c	2	third-party		
thirdparty/audio_codec_lib/liblhdc-dec/dec_src/DecodeUps2xLPF.c	3	third-party		
thirdparty/audio_codec_lib/liblhdc-dec/dec_src/cirbuf.c	3	third-party		
thirdparty/audio_codec_lib/liblhdc-dec/dec_src/dec.c	3	third-party		
thirdparty/audio_codec_lib/liblhdc-dec/dec_src/encdec.c	3	third-party		
thirdparty/audio_codec_lib/liblhdc-dec/dec_src/fast_upsampling_2x.c	3	third-party		
thirdparty/audio_codec_lib/liblhdc-dec/dec_src/lic_check.c	3	third-party		
thirdparty/audio_codec_lib/liblhdc-dec/dec_src/licdecrypt.c	3	third-party		
thirdparty/audio_codec_lib/liblhdc-dec/dec_src/lzh_dec.c	3	third-party		
thirdparty/audio_codec_lib/liblhdc-dec/lhdcUtil.c	3	third-party		
utils/encrypt/_sha256.c	1	BES		
utils/encrypt/aes.c	1	BES		
utils/encrypt/uECC.c	1	BES		
utils/intersyshci/intersyshci.c	1	BES		
utils/intersyshci/trans_adapt_v2.c	1	BES		
